date,industry,lprod,gva,labour
2002,I: 55 and 56,114.3573,82.5594,72.1942
2003,I: 55 and 56,113.0348,84.8268,75.0448
2004,I: 55 and 56,114.8713,88.843,77.3413
2005,I: 55 and 56,117.2049,90.4829,77.2006
2006,I: 55 and 56,111.7235,87.5648,78.3763
2007,I: 55 and 56,107.7361,87.1718,80.9123
2008,I: 55 and 56,106.7017,85.7103,80.327
2009,I: 55 and 56,104.227,79.4894,76.2656
2010,I: 55 and 56,108.0868,82.2572,76.1029
2011,I: 55 and 56,112.4812,86.351,76.7693
2012,I: 55 and 56,110.5678,87.5301,79.1642
2013,I: 55 and 56,113.2868,93.8121,82.8094
2014,I: 55 and 56,105.6515,90.7851,85.9288
2015,I: 55 and 56,98.216,88.7737,90.3862
2016,I: 55 and 56,100.8526,93.865,93.0715
2017,I: 55 and 56,103.5445,98.3089,94.9437
2018,I: 55 and 56,102.0017,96.6195,94.7235
2019,I: 55 and 56,100.0,100.0,100.0
2020,I: 55 and 56,91.7553,59.9316,65.3168
2021,I: 55 and 56,103.5837,78.444,75.7301
1997,J: 58 to 63,14.4827,9.4927,65.5451
1998,J: 58 to 63,17.7511,11.9738,67.454
1999,J: 58 to 63,20.8332,14.2773,68.5315
2000,J: 58 to 63,26.4804,18.6238,70.3307
2001,J: 58 to 63,28.2542,20.7011,73.2674
2002,J: 58 to 63,31.6607,23.1344,73.0697
2003,J: 58 to 63,36.8859,27.0858,73.4314
2004,J: 58 to 63,41.6954,29.8871,71.6796
2005,J: 58 to 63,44.2139,32.9242,74.4657
2006,J: 58 to 63,45.8256,34.8095,75.9608
2007,J: 58 to 63,50.7838,39.1767,77.1442
2008,J: 58 to 63,53.9649,41.2421,76.4239
2009,J: 58 to 63,56.3525,43.2891,76.8184
2010,J: 58 to 63,59.394,46.0474,77.5287
2011,J: 58 to 63,62.8568,51.2692,81.5651
2012,J: 58 to 63,66.3196,54.1988,81.7236
2013,J: 58 to 63,66.701,57.0502,85.5314
2014,J: 58 to 63,70.6407,63.8396,90.3722
2015,J: 58 to 63,76.5336,69.999,91.4618
2016,J: 58 to 63,82.7337,77.9719,94.2444
2017,J: 58 to 63,81.9645,80.8728,98.6681
2018,J: 58 to 63,93.2954,91.5866,98.1683
2019,J: 58 to 63,100.0,100.0,100.0
2020,J: 58 to 63,99.6992,98.5711,98.8684
2021,J: 58 to 63,105.1712,104.3871,99.2545
1997,K: 64 to 66,71.8821,67.5518,93.9758
1998,K: 64 to 66,73.0503,69.3852,94.9827
1999,K: 64 to 66,70.5337,68.8855,97.6632
2000,K: 64 to 66,74.6294,72.3101,96.8923
2001,K: 64 to 66,72.6417,72.0142,99.1362
2002,K: 64 to 66,77.3356,76.6001,99.049
2003,K: 64 to 66,80.6718,79.4107,98.4368
2004,K: 64 to 66,84.0294,80.5378,95.8448
2005,K: 64 to 66,94.3155,92.1992,97.7562
2006,K: 64 to 66,92.5226,89.9799,97.2518
2007,K: 64 to 66,110.3069,111.056,100.6791
2008,K: 64 to 66,109.8197,112.6136,102.544
2009,K: 64 to 66,106.6561,105.5552,98.9679
2010,K: 64 to 66,104.3055,101.5772,97.3843
2011,K: 64 to 66,98.3606,99.1328,100.7852
2012,K: 64 to 66,98.8793,100.4935,101.6325
2013,K: 64 to 66,95.6522,95.641,99.9882
2014,K: 64 to 66,94.4574,94.9352,100.5058
2015,K: 64 to 66,92.5833,90.885,98.1657
2016,K: 64 to 66,97.0323,97.1197,100.09
2017,K: 64 to 66,105.8329,103.5274,97.8215
2018,K: 64 to 66,102.6867,102.577,99.8932
2019,K: 64 to 66,100.0,100.0,100.0
2020,K: 64 to 66,99.4909,100.2526,100.7656
2021,K: 64 to 66,102.316,105.4476,103.0607
1997,L: 68,145.0907,65.3515,45.0418
1998,L: 68,143.6661,65.2635,45.4272
1999,L: 68,136.8778,66.7921,48.7969
2000,L: 68,134.3592,66.7146,49.6539
2001,L: 68,128.2248,67.4839,52.6293
2002,L: 68,127.2242,67.9501,53.4097
2003,L: 68,125.7892,70.5011,56.0471
2004,L: 68,118.9085,70.7082,59.4644
2005,L: 68,108.8321,71.4782,65.6775
2006,L: 68,99.3484,73.645,74.128
2007,L: 68,94.0303,73.0106,77.6459
2008,L: 68,93.539,74.2106,79.3365
2009,L: 68,96.403,76.1488,78.99
2010,L: 68,94.2081,78.8728,83.7219
2011,L: 68,100.2243,80.8163,80.6355
2012,L: 68,100.729,86.0797,85.4567
2013,L: 68,100.9573,88.7909,87.9489
2014,L: 68,100.5023,91.4277,90.9708
2015,L: 68,99.1884,94.6577,95.4322
2016,L: 68,100.5117,96.8554,96.3623
2017,L: 68,100.0844,96.9752,96.8934
2018,L: 68,100.0036,98.3705,98.367
2019,L: 68,100.0,100.0,100.0
2020,L: 68,102.7593,100.0366,97.3504
2021,L: 68,94.9591,99.9403,105.2457
1997,M: 69 to 75,96.4148,56.4448,58.5437
1998,M: 69 to 75,97.767,59.3874,60.7438
1999,M: 69 to 75,97.8164,61.7148,63.0925
2000,M: 69 to 75,98.8967,64.5342,65.2541
2001,M: 69 to 75,98.6875,66.2906,67.1722
2002,M: 69 to 75,102.1846,67.7612,66.3125
2003,M: 69 to 75,105.602,72.3009,68.4655
